PRESCRIPTION_CODE,PRACTICE_CODE,BNF_CODE,QUANTITY,ITEMS,ACTUAL_COST
466,P82652,0407010F0AAAHAH,50,1,1.81403
467,P82652,0407010F0AAAHAH,100,14,47.68825
468,P82652,0407010F0AAAHAH,224,1,7.71362
469,P82652,0407010F0AAAKAK,50,2,2.80529
470,P82652,0407010F0AAAKAK,150,1,3.98313
471,P82652,0407010F0AAAKAK,100,16,41.48622
472,P82652,0407010F0AAAKAK,120,1,3.20712
473,P82652,0407010F0AAAKAK,60,4,6.65773
474,P82652,0407010F0AAAKAK,224,2,11.7809
475,P82652,0407010F0AAAVAV,100,3,20.37257
476,P82034,0407010F0BSAAAH,60,2,3.72155
477,P82034,0407010F0BSAAAH,56,2,3.47846
478,P82034,0407010F0BSAAAH,200,5,29.13924
479,P82034,0407010F0BSAAAH,100,13,37.96162
480,P82034,0407010F0BSAAAH,112,1,3.36606
481,P82034,0407010F0BSAAAH,40,3,3.81525
482,P82034,0407010F0BSABAD,100,2,7.22399
483,P82034,0407010F0BSABAD,200,2,14.42318
484,P82652,0407010F0BVAAAK,224,2,34.78091
485,P82034,0407010H0AAAAAA,100,2,6.73781
486,P82034,0407010H0AAAAAA,200,1,6.73476
487,P82034,0407010H0AAACAC,200,1,4.91159
488,P82034,0407010H0AAACAC,500,2,24.52074
489,P82034,0407010H0AAAMAM,60,1,1.41199
490,P82034,0407010H0AAAMAM,224,3,14.55712
491,P82034,0407010H0AAAMAM,100,20,43.44313
492,P82034,0407010H0AAAMAM,200,5,21.65957
493,P82034,0407010H0AAAQAQ,60,1,8.24655
494,P82034,0407010H0AABGBG,1000,3,137.61651
495,P82034,0407010H0AABGBG,200,1,9.18435
496,P82034,0407010H0AABGBG,1500,1,68.90673
497,P82034,0407010H0AABGBG,500,5,115.2348
498,P82034,0407010H0AABGBG,400,1,18.35631
499,P82652,0407010N0AAAAAA,50,2,8.79838
500,P82652,0407010N0AAAAAA,100,1,8.58598
501,P82034,0407010P0AAABAB,84,1,4.13273
502,P82034,0407010P0AAABAB,90,5,21.61282
503,P82034,0407010P0AAABAB,180,1,8.63273
504,P82034,040702040AAAAAA,100,4,9.51139
505,P82034,040702040AAAAAA,120,2,5.70935
506,P82034,040702040AAAAAA,112,2,5.52602
507,P82034,040702040AAAAAA,200,1,4.7433
508,P82034,040702040AAAAAA,90,1,2.14411
509,P82034,040702040AAAAAA,224,2,10.82724
510,P82034,040702040BDACAH,112,1,25.36566
511,P82034,040702040BNADAE,56,1,12.49127
512,P82034,040702040BNAFAC,56,2,12.34188
